1. Qual o seu nivel de formacao?;2. Qual o seu ano de ingresso?;3. A qual programa esta vinculado?;como voce avalia a qualidade das aulas e do material utilizado?  [Qualidade das aulas];Como voce avalia a qualidade das aulas e do material utilizado?  [Material didatico utilizado nas disciplinas];Como voce avalia a qualidade das aulas e do material utilizado?  [Acervo disponivel para consulta];Como voce avalia a  infraestrutura do programa?  [Infraestrutura geral];Como voce avalia a  infraestrutura do programa?  [Laboratorios de pesquisa/Salas de estudo];Como voce avalia a  infraestrutura do programa?  [Insumos para pesquisa];Como voce avalia o relacionamento entre voce e: [os colegas];Como voce avalia o relacionamento entre voce e: [a comissao orientadora];Como voce avalia o relacionamento entre voce e: [a comissao coordenadora];Como voce avalia o relacionamento entre voce e: [a secretaria do programa];Como voce avalia a gestao do programa? [Processo de gestao/Administrativo do Programa];Como voce avalia a gestao do programa? [Organizacao do Programa];Como voce avalia o seu conhecimento acerca: [do seu papel enquanto aluno];Como voce avalia o seu conhecimento acerca: [do Regimento Interno do Programa];Como voce avalia o seu conhecimento acerca: [do Regimento Geral da Pos-Graduacao];Como voce avalia o seu conhecimento acerca: [das normas da Capes];Como voce avalia o seu conhecimento acerca: [do processo de avaliacao da Capes];Em relacao ao seu PROJETO DE PESQUISA, voce esta:;Em relacao a sua PRODUcaO CIENTiFICA, voce esta:;Voce acredita que sua pesquisa possui relevancia e pertinencia social?;Voce acredita que sua pesquisa possui relevancia e pertinencia economica?;Voce acredita que sua pesquisa possui relevancia e pertinencia ambiental?;Voce acredita que sua pesquisa promove avanco cientifico?;O seu Programa possui visao, missao e objetivos claros?;Voce acredita que sua pesquisa esta alinhada com o objetivo e missao de seu Programa?;Quais sao os principais atores que podem ser impactados por sua pesquisa e producao cientifica dela decorrente? (Marque todas que se aplicam).;Voce recebe bolsa de pos-graduacao?;Para a realizacao de seu projeto de pesquisa houve algum tipo de captacao de recurso externo (exceto bolsa)? ;Producao de inovacao tecnologica e uma prioridade em seu programa de pos-graduacao?;Voce acredita que sua linha de pesquisa se destaca pela producao de inovacao tecnologica?;Voce ja depositou alguma patente proveniente de sua pesquisa, ou possui isso como um dos objetivos de seu projeto de pesquisa?;Producao de tecnologias de APLICAcaO SOCIAL e uma prioridade em seu programa de pos-graduacao?;Alguma tecnologia de aplicacao social ja foi criada como resultado de sua pesquisa, ou possui isso como um dos objetivos de seu projeto de pesquisa?;Voce ja apresentou algum resultado de sua pesquisa em algum evento voltado para a COMUNIDADE, ou pretende apresentar?;Voce ja apresentou algum resultado de sua pesquisa em algum evento CIENTiFICO, ou pretende apresentar?;Sua pesquisa podera gerar solucoes para os problemas que a sociedade enfrenta ou vira a enfrentar?;Qual o nivel de internacionalizacao do seu programa?;No momento, ha interesse por parte do seu Programa de Pos-Graduacao em iniciar um processo de Internacionalizacao?;Voce se sente preparado para a internacionalizacao do seu Programa de Pos-Graduacao? ;Voce entende que o seu Programa de Pos-Graduacao esta preparado para a internacionalizacao?;Seu projeto de pesquisa possui parcerias com instituicoes internacionais de pesquisa ou ensino?;Qual o seu nivel de proficiencia em lingua inglesa?;Gostaria de adicionar algum comentario referente seu Programa de Pos-Graduacao?;Gostaria de adicionar algum comentario referente a Pro-Reitoria de Pesquisa e Pos-Graduacao?
Doutorado em andamento;2020;Administracao;4;4;3;4;3;0;5;3;0;5;5;4;5;3;3;3;2;3;3;5;5;2;5;0;;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;0;;;0;;Apresento nas redes sociais, 0 sei se conta.;1, em um evento nacional;5;3;;5;5;0;5;Sobre a questao da internacionalizacao, temos muitos alunos capazes de desenvolver pesquisa no exterior, mas as bolsas de doutorado sanduiche 0 tem chegado ao programa, infelizmente.;
Mestrado em andamento;2020;Administracao;5;5;5;0;0;0;5;5;0;3;3;4;5;4;4;3;3;3;3;5;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;0;0;1;0;0;1;0;0;Pretendo apresentar;5;4;;4;4;0;3;;
Mestrado em andamento;2019;Administracao;5;5;5;5;5;0;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;1;5;1;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;0;0;1;0;0;1, em um evento nacional;5;4;;5;4;1;5;;
Doutorado em andamento;2020;Administracao;5;5;5;4;4;3;5;3;4;2;4;4;4;3;2;1;1;1;2;5;5;4;5;1;5;Sociedade;1 - Capes;0;0;;;0;;1, em um evento internacional;1, em um evento internacional;5;4;;3;3;0;3;Durante a pandemia a comunicacao ficou muito prejudicada, os alunos 0 recebiam todos os avisos por meio de e-mails, a secretaria 0 atendia telefone nem respondia e-mails. Me senti desinformado e perdido sobre prazos e requisitos para matricula. ;
Doutorado em andamento;2018;Administracao;4;4;2;4;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;4;1;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;0;0;0;;;1;0;1, em um evento local;1, em um evento nacional;4;3;;3;4;0;4;;
Mestrado em andamento;2019;Administracao;5;5;5;5;5;5;5;5;3;3;2;2;4;4;3;3;3;5;5;5;5;4;5;1;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;0;0;1;0;0;1;0;1, em um evento local;1, em um evento local;5;4;;3;4;0;2;;
Mestrado em andamento;2019;Administracao;5;4;5;4;4;5;4;5;5;5;4;5;5;4;4;3;3;4;3;4;3;3;4;0;;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;1;0;1;0;1, em um evento nacional;1, em um evento nacional;4;3;;3;3;0;3;;
Doutorado em andamento;2018;Administracao;2;3;5;2;3;2;4;1;2;5;3;3;2;3;4;4;4;1;2;3;5;2;4;1;4;Agencias Governamentais;0;0;0;;;0;;0;0;4;1;;3;3;0;3;;
Doutorado em andamento;2018;Administracao;2;3;5;2;3;2;4;1;2;5;3;3;2;3;4;4;4;1;2;3;5;2;4;1;4;Agencias Governamentais;0;0;0;;;0;;0;0;4;1;;3;3;0;3;A comunicacao e horrivel, sabemos pouco ou nada do que vem sendo feito, a secretaria do Programa parece nem existir e o coordenador do Programa surge quando precisa dos alunos apenas.;
Mestrado em andamento;2020;Administracao;4;4;3;4;4;3;4;5;2;1;2;2;4;4;4;3;3;4;4;4;4;4;4;0;;Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;0;;;1;0;0;1, em um evento nacional;4;0;1;2;1;0;3;A comunicacao e horrivel, sabemos pouco ou nada do que vem sendo feito, a secretaria do Programa parece nem existir e o coordenador do Programa surge quando precisa dos alunos apenas.;
Doutorado em andamento;2019;Administracao;5;5;5;5;4;5;5;5;5;5;5;5;5;0;0;0;5;4;4;5;4;3;5;1;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;0;0;0;;;1;1;1, em um evento local;1, em um evento nacional;5;3;;4;4;0;3;A comunicacao e horrivel, sabemos pouco ou nada do que vem sendo feito, a secretaria do Programa parece nem existir e o coordenador do Programa surge quando precisa dos alunos apenas.;
Mestrado em andamento;2019;Administracao;4;5;5;4;3;0;5;5;4;4;4;5;4;4;4;4;4;5;4;5;4;3;5;1;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;0;;;0;;1, em um evento nacional;1, em um evento nacional;3;3;;3;4;0;2;;
Doutorado em andamento;2019;Administracao;5;5;3;5;5;0;5;5;5;5;5;5;4;2;1;2;2;4;3;4;4;3;4;0;;Agencias Governamentais;0;0;0;;;0;;0;1, em um evento nacional;5;2;;1;2;0;1;;
Mestrado em andamento;2021;Administracao;5;5;0;5;0;0;5;5;5;5;5;5;5;4;4;3;3;5;2;5;5;5;5;1;5;Agencias Governamentais;0;0;1;1;0;1;0;0;0;3;5;;3;5;0;2;;
Mestrado em andamento;2019;Administracao;5;5;5;5;4;4;4;5;4;5;4;4;5;5;5;4;5;5;5;5;5;5;5;1;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - Capes;1, junto a agencias de fomento governamentais;1;1;0;1;1;1, em um evento nacional;1, em um evento nacional;5;3;;4;5;0;4;O programa e otimo, transformou minha vida. No entanto, os processos seletivos do programa poderiam utilizar de maneira mais especifica a prova da anpad, principalmente referente ao processo seletivo de doutorado. ;Estou satisfeito 
Mestrado em andamento;2020;Administracao;4;3;3;5;5;4;5;4;4;3;4;4;4;4;4;4;4;5;4;5;5;2;5;1;4;Sociedade, Agencias Governamentais;1 - Capes;0;1;0;0;0;;1, em um evento nacional;1, em um evento nacional;4;4;;3;4;1;3;;
Mestrado em andamento;2019;Administracao;5;5;0;0;0;0;5;5;5;4;5;5;5;5;5;4;4;4;4;5;5;3;5;1;5;Sociedade, Agencias Governamentais;0;0;0;;;1;0;0;0;4;3;;3;4;0;2;;
Mestrado em andamento;2019;Administracao;5;5;0;0;0;0;5;5;5;4;5;5;5;5;5;4;4;4;4;5;5;3;5;1;5;Sociedade, Agencias Governamentais;0;0;0;;;1;0;0;0;4;3;;3;4;0;2;;
Doutorado em andamento;2021;Administracao;4;3;3;5;5;5;4;4;5;3;3;3;3;3;3;3;3;4;4;5;5;3;5;0;;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;0;;;1;0;0;1, em um evento nacional;5;3;;3;3;0;3;;
Mestrado em andamento;2019;Administracao;3;3;2;5;5;0;5;2;3;5;0;4;4;5;5;3;0;3;2;4;4;1;4;0;;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;0;;;0;;1, em um evento nacional;1, em um evento nacional;4;2;;2;3;0;3;;
Mestrado em andamento;2019;Administracao;5;5;4;4;0;0;5;4;5;5;5;5;5;5;4;4;4;5;5;5;5;5;4;1;4;Sociedade, Outros Pesquisadores, Agencias Governamentais;0;0;1;1;0;1;0;0;0;5;4;;4;3;0;3;0;0
Mestrado em andamento;2020;Administracao;4;4;4;4;4;4;5;5;4;4;4;4;4;4;4;4;4;5;4;4;4;3;4;1;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;0;;;1;0;0;1, em um evento internacional;4;3;;3;4;0;3;;
Doutorado em andamento;2018;Administracao;3;3;4;3;3;2;3;4;3;4;3;3;3;3;3;3;3;3;3;4;4;4;4;1;4;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;1;0;1;1;1, em um evento internacional;1, em um evento internacional;4;3;;4;4;1;3;;
Mestrado em andamento;2021;Administracao;4;4;2;0;0;5;5;5;5;5;5;5;5;5;4;4;4;2;2;5;5;5;4;1;5;Sociedade, Agencias Governamentais;1 - Fapemig;0;1;1;1;1;0;1, em um evento local;1, em um evento regional;5;3;;3;4;1;1;;
Doutorado em andamento;2021;Administracao;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;1;5;Sociedade, Agencias Governamentais;1 - Capes;0;1;1;0;1;1;1, em um evento regional;1, em um evento internacional;4;5;;4;5;0;3;Estou muito satisfeito com a estrutura e aspiracoes do programa.;Estou muito satisfeito com a comunicacao e todo o trabalho da Pro-Reitoria de Pesquisa e Pos-Graduacao
Mestrado em andamento;2021;Administracao;0;5;0;0;0;0;0;0;0;0;0;0;3;4;4;3;3;4;3;4;4;3;2;1;5;Sociedade;0;0;1;0;0;1;0;1, em um evento local;1, em um evento nacional;4;4;;4;5;0;3;;
Mestrado em andamento;2020;Administracao;5;5;4;4;4;4;5;4;5;3;5;5;5;4;4;4;4;5;5;5;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores;0;0;1;1;0;1;1;1, em um evento nacional;1, em um evento nacional;5;5;;5;5;0;4;O Programa de Pos-Graduacao em Partimonio Cultural Paisagens e cidadania,visa formar profissionais que contribuam para a producao de conhecimentos critico e eticamente comprometido, fomentando a melhoria da qualidade de vida da comunidade.;0
Doutorado em andamento;2019;Administracao;5;5;5;5;5;5;5;5;4;5;4;4;5;4;4;4;3;4;5;5;5;4;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;0;;;0;;0;1, em um evento nacional;5;3;;4;4;0;3;;
Doutorado em andamento;2020;Administracao;5;4;3;4;3;4;5;4;5;4;0;3;5;4;4;3;4;3;3;4;4;5;4;0;;Sociedade, Agencias Governamentais;1 - Capes;0;0;;;0;;1, em um evento regional;1, em um evento nacional;5;2;;3;3;0;3;-;-
Mestrado em andamento;2020;Administracao Pública em Rede Nacional;4;4;5;4;4;4;5;3;2;4;4;4;4;3;3;4;3;4;4;4;4;4;4;1;3;Sociedade, Agencias Governamentais;0;0;0;;;1;1;0;0;4;4;;3;4;0;2;;
Mestrado em andamento;2019;Agroecologia;4;4;5;4;4;4;4;4;4;5;5;5;4;4;4;4;4;4;3;5;5;5;5;1;4;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;1;0;1;1;0;1, em um evento nacional;5;5;;3;4;1;2;Vejo a necessidade de acompanhamento de profissional de saúde mental na trajetoria dos pos-graduandos. Muitos se perdem no caminho por varios motivos. Uma direcao psicologica seria uma boa alternativa para manter a saúde mental do pesquisador em dia.;Vejo a necessidade de acompanhamento de profissional de saúde mental na trajetoria dos pos-graduandos. Muitos se perdem no caminho por varios motivos. Uma direcao psicologica seria uma boa alternativa para manter a saúde mental do pesquisador em dia. Isso reflete na qualidade da pesquisa e qualidade de publicacao. Avaliem com carinho essa possibilidade. Grandes empresas como GOOGLE ja vem trabalhando qualidade emocional em seus colaboradores com excelentes resultados. 0 deve ser tao dificil reunir os pos-graduandos mensalmente, pelo menos os que quiserem a principio. Casos especificos podem ser orientados a divisao de psicossocial  da UFV, para acompanhamento dedicado.  Pelo menos um ano de teste para apurar os beneficios. A trajetoria da pos-graduacao nem sempre e um caminho prazeroso e isso pode mudar. 
Mestrado em andamento;2021;Agroecologia;5;5;5;4;0;0;5;5;4;4;4;4;5;4;4;3;2;4;4;5;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;0;1, junto a orgaos e agencias internacionais;1;1;0;1;0;AINDA 0 MAS PRETENDO;AINDA 0 MAS PRETENDO;5;3;;4;4;1;3;;
Mestrado em andamento;2021;Agroecologia;5;5;5;5;5;4;4;5;5;5;5;5;5;4;4;4;4;5;5;5;5;5;5;1;5;Sociedade, Outros Pesquisadores;1 - Capes;0;1;1;1;1;1;1, em um evento nacional;1, em um evento regional;5;4;;4;3;0;1;Me sinto extremamente contemplada com meu programa de pos graduacao, com oportunidade de conhecimentos em varias areas e tambem a valorizacao de minha area de formacao;
Mestrado em andamento;2021;Agroecologia;5;5;0;5;0;0;5;5;5;5;5;5;5;4;4;5;4;5;5;5;5;5;5;1;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;1;0;1;0;1, em um evento nacional;1, em um evento nacional;4;3;;3;3;0;2;;
Mestrado em andamento;2020;Agroecologia;5;5;0;4;0;0;5;5;5;5;5;5;4;4;4;4;4;5;3;5;5;5;5;1;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;1;0;1;0;1, em um evento local;1, em um evento internacional;5;3;;5;4;0;4;;
Mestrado em andamento;2020;Agroecologia;4;5;5;3;3;2;4;3;4;4;4;4;4;3;4;4;4;4;3;5;4;5;5;0;;Sociedade, Outros Pesquisadores, Agencias Governamentais, Contribui ativamente para a producao de conhecimento agroecologico;1 - Capes;1, junto a outras instituicoes de apoio a pesquisa (federais ou estaduais);0;;;1;1;1, em um evento regional;1, em um evento nacional;5;3;;4;3;0;4;;"Gostaria de dizer que a agroecologia deveria ser mais valorizada pelo Pro Reitoria de Pesquisa e pela UFV em geral. Recebemos pouco incentivo, somos um programa 4 e sem a contribuicao da instituicao infelizmente 0 conseguiremos avancar.
Alem disso, faco uma ressalva, pois transferencia de conhecimento para a sociedade e um termo muito inadequado. Quando vamos a campo deveriamos compartilhar, socializar, e principalmente, construir o conhecimento junto as pessoas e a sociedade."
Mestrado em andamento;2020;Agroecologia;4;5;0;5;0;0;5;5;5;5;5;5;5;4;4;4;4;5;5;5;5;5;5;1;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;0;0;1;0;0;1, em um evento nacional;5;5;;5;5;0;4;;
Mestrado em andamento;2021;Agroecologia;5;4;4;4;0;0;5;5;5;5;5;5;5;4;4;3;3;4;3;4;4;4;4;1;5;Sociedade;0;0;0;;;1;0;0;0;4;2;;4;5;0;0;;
Mestrado em andamento;2021;Agroecologia;3;4;4;2;1;1;4;3;3;3;5;5;3;3;3;3;3;4;3;4;4;5;5;1;5;Sociedade;0;0;1;1;0;1;1;1, em um evento internacional;1, em um evento internacional;5;5;;4;5;0;3;;
Mestrado em andamento;2020;Agroecologia;5;5;5;0;0;4;5;5;5;5;5;5;5;4;4;4;4;4;4;5;5;5;5;0;;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Recebi por poucos meses;1, junto a outras instituicoes de apoio a pesquisa (federais ou estaduais);1;1;0;1;0;0;1, em um evento nacional;5;5;;3;5;0;3;;
Mestrado em andamento;2019;Agroecologia;4;4;5;4;4;3;5;4;5;5;5;3;5;4;4;4;5;5;1;5;5;5;5;0;;Sociedade, Outros Pesquisadores;1 - Fapemig;0;0;;;1;0;0;1, em um evento nacional;5;3;;1;1;0;2;;
Mestrado em andamento;2020;Agroecologia;4;4;3;4;4;3;4;4;4;4;4;4;3;3;3;3;3;4;3;5;5;5;5;1;4;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;1;0;1;1;0;0;5;4;;4;4;0;3;;
Mestrado em andamento;2020;Agroecologia;5;5;5;4;4;4;4;5;3;4;3;4;5;4;4;4;3;4;4;4;4;5;4;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;0;;;1;0;ainda 0;0;5;5;;3;3;1;1;0;0
Doutorado em andamento;2017;Agronomia (Producao Vegetal);4;4;4;3;3;2;5;4;4;4;4;4;4;4;4;0;0;4;4;4;4;4;4;1;4;Sociedade, Empresas, Outros Pesquisadores;0;0;1;1;0;1;0;0;0;4;3;;4;4;0;3;;
Mestrado em andamento;2021;Agronomia (Producao Vegetal);0;0;5;0;0;0;0;5;5;5;5;5;5;4;4;4;4;5;5;5;5;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais, Pacientes ;1 - CNPq;0;1;1;0;1;0;1, em um evento local;1, em um evento internacional;5;3;;5;5;1;4;Estudos cientificos com Cannabis se faz urgente ;
Doutorado em andamento;2019;Agronomia (Producao Vegetal);5;4;4;4;4;3;5;5;5;5;5;5;5;5;5;4;3;4;2;5;5;4;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;1 - Capes;1, junto a outras instituicoes de apoio a pesquisa (federais ou estaduais);1;0;0;1;1;1, em um evento local;1, em um evento nacional;4;3;;2;3;0;1;Estou satisfeita com o meu programa. Apesar de algumas dificuldades relacionadas a condicoes de laboratorios e recursos para as pesquisas, o treinamento tem sido de boa qualidade.;Estou satisfeita com o trabalho da Pro- Reitoria de Pesquisa e Pos-graduacao. Atendem bem as demandas dos estudantes na solucao de problemas e prezam muito pela qualidade dos programas.
Doutorado em andamento;2021;Agronomia (Producao Vegetal);4;4;3;0;0;0;4;4;5;5;5;5;4;4;3;4;4;4;4;4;4;4;4;1;4;Sociedade, Empresas, Agencias Governamentais;1 - CNPq;0 sou capaz de responder;1;1;0;1;1;0;0;4;5;;4;4;0;3;;
Doutorado em andamento;2021;Agroquimica;5;4;4;3;3;3;5;5;5;4;4;4;4;3;3;4;3;4;3;4;4;4;4;1;4;Empresas, Outros Pesquisadores;0;0;1;;0;0;;0;1, em um evento nacional;4;3;;3;3;0;3;;
Doutorado em andamento;2020;Agroquimica;5;5;4;4;5;4;5;5;5;5;5;5;5;4;4;4;4;5;4;5;4;5;5;1;5;Sociedade, Empresas, Outros Pesquisadores;1 - Capes;1, junto a agencias de fomento governamentais;0;;;1;1;0;1, em um evento internacional;5;4;;4;4;0;5;;
