Como voce identifica seu genero?;Qual o ultimo nivel de formacao que voce obteve na UNIFEI?;Qual o seu ano de conclusao?;A qual programa esteve vinculado?;Em uma escala de 0 a 10, o quanto voce recomendaria o Programa em que realizou sua pos-graduacao na UNIFEI?;Como voce avalia a qualidade das aulas e do material utilizado no Programa? [Qualidade das aulas];Como voce avalia a qualidade das aulas e do material utilizado no Programa? [Material didatico utilizado nas disciplinas];Como voce avalia a qualidade das aulas e do material utilizado no Programa? [Acervo disponivel para consulta];Como voce avalia a infraestrutura do programa durante seu periodo na UNIFEI? [Infraestrutura geral];Como voce avalia a infraestrutura do programa durante seu periodo na UNIFEI? [Laboratorios de pesquisa/Salas de estudo];Como voce avalia a infraestrutura do programa durante seu periodo na UNIFEI? [Insumos para pesquisa];Como voce avalia o relacionamento entre voce e: [os colegas];Como voce avalia o relacionamento entre voce e: [a comissao orientadora];Como voce avalia o relacionamento entre voce e: [a comissao coordenadora];Como voce avalia o relacionamento entre voce e: [a secretaria do programa];Como voce avalia a gestao do programa? [Processo de gestao/Administrativo do Programa];Como voce avalia a gestao do programa? [Organizacao do Programa];Em relacao a sua TESE/DISSERTAcaO, voce ficou:;Em relacao a sua PRODUcaO CIENTiFICA, voce ficou satisfeito:;Voce acredita que a sua pesquisa teve relevancia e pertinencia social?;Voce acredita que a sua pesquisa teve relevancia e pertinencia economico?;Voce acredita que a sua pesquisa teve relevancia e pertinencia ambiental?;Voce acredita que a sua pesquisa promoveu o avanco cientifico?;Voce acredita que sua pesquisa esteve alinhada com missao, visao e objetivos de seu Programa?;Voce recebeu bolsa de pos-graduacao?;Para a realizacao de seu projeto de pesquisa houve algum tipo de captacao de recurso externo (exceto bolsa)?;O programa de pos-graduacao em que atuou tem como objetivo a producao de inovacao tecnologica?;Voce acredita que a linha de pesquisa em que atuou se destaca pela producao de inovacao tecnologica?;Voce depositou alguma patente proveniente de sua pesquisa?;O programa de pos-graduacao em que atuou tem como objetivo a producao de tecnologias de APLICAcaO SOCIAL?;Alguma tecnologia de aplicacao social foi criada como resultado de sua pesquisa?;Voce ja apresentou algum resultado de sua pesquisa em algum evento voltado para a sociedade, ou pretende apresentar?;Voce ja apresentou algum resultado de sua pesquisa em algum evento CIENTiFICO, ou pretende apresentar?;Sua pesquisa gerou solucoes para os problemas que a sociedade enfrenta ou vira a enfrentar?;Qual foi o principal impacto social promovido por seu projeto de pesquisa? (Marque todas aplicaveis);Seu projeto de pesquisa possuiu parcerias com instituicoes internacionais de pesquisa ou ensino?;Quando aluno da UNIFEI, teve a oportunidade de fazer parte da sua pos-graduacao em outra instituicao (Nacional ou Internacional)?;Em sua trajetoria profissional, teve a oportunidade de atuar fora do Brasil?;Caso se sinta a vontade, pedimos que compartilhe como fez para pleitear a oportunidade fora do Brasil.;Qual sua colocacao profissional atualmente?;Seu emprego esta relacionado a sua area de formacao na pos-graduacao da UNIFEI?;Voce teve dificuldade para conseguir o primeiro emprego?;Caso tenha tido/tenha dificuldade para conseguir o primeiro emprego, o que poderia ser melhorado no programa, visando maior insercao no mercado de trabalho?;Teve bolsa de iniciacao cientifica na graduacao?;Voce teve recursos e estrutura fisica suficiente para a conducao dos seus experimentos?;Gostariamos de saber sua satisfacao pessoal e profissional com relacao a sua formacao na UNIFEI. Fique a vontade em descreve-las.;Gostaria de adicionar algum comentario referente a Pro-Reitoria de Pesquisa e Pos-Graduacao?
Feminino;Mestrado;2020;Engenharia de Materiais;9;3;3;2;3;3;3;3;3;3;3;2;2;2;2;3;2;2;3;3;Sim;Nao;Nao;Nao;Nao;Sim;Nao;Sim;Sim;3;Transferencia de conhecimento para a sociedade;Nao;Nao;Nao;;Pesquisador;Sim;Sim;Parcerias  entre UNIFEI e a Prefeitura do municipio;Sim;Nao;A UNIFEI me proporcionou uma otima formacao e contribuiu tanto para a vida profissional quanto pessoal. Sou muito grata, em ter feito parte dessa instituicao de ensino. Uma vez, que preza pela qualificacao e excelencia de seus estudantes.;
Feminino;Mestrado;2021;Engenharia de Producao;10;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;2;3;3;3;Sim;Nao;Sim;;Nao;Sim;Nao;Nao;Nao;3;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Melhoria na qualidade de vida da populacao local;Nao;Nao;Nao;;Servidor Publico (outros cargos);Sim;Ja possuia emprego quando ingressei na pos-graduacao/UNIFEI;;Nao;Sim;Totalmente satisfeita.  Adquiri muito conhecimento com o programa de pos-graduacao da UNIFEI.;
Masculino;Mestrado;2013;Engenharia de Producao;10;2;2;3;3;2;2;3;3;3;3;3;3;2;2;2;2;3;3;2;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Nao;Sim;2;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;Nao;Nao;Nao;;Nao se aplica (desempregado);;;;;Sim;;
Masculino;Doutorado;2016;Engenharia de Materiais;9;2;2;3;3;3;3;3;3;3;3;3;3;2;3;2;2;2;2;;Sim;Nao;Nao;Nao;Nao;Sim;Nao;Sim;Sim;3;Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Avanco cientifico;Sim;Nao;Nao;;Docente;Sim;Nao;;Sim;Sim;Estou satisfeito com o papel da UNIFEI em minha formacao, desde a graduacao, bem como com o suporte por ela fornecido. Em minha area de Cooperativismo, a UNIFEI e referencia nacional. Este fato me abriu e me abre portas ate hoje. Permitiu e permite a interlocucao e participacao em instancias de pesquisa e representacao do cooperativismo nacional. Atualmente, como professor e pesquisador sobre o tema, acredito que tenha insercao no meio academico e profissional do cooperativismo que me permita renovar o ciclo e me tornar um elo entre a UNIFEI e seus alunos (de graduacao e pos-graduacao) e as instancias e pesquisa e representacao do cooperativismo nacional.;Esses esforcos de resgate e acompanhamento dos egressos e muito importante. Assim como o esclarecimento continuo das demandas da CAPES quanto aos cursos de pos-graduacao, e o que se espera de seus estudantes e egressos. Obviamente, como docentes, sabemos que publicacao e internacionalizacao sao dois carros-chefes dessas demandas. Mas isso precisa ser divulgado, disseminado e deixado muito claro aos estudantes, desde sempre. A PPG precisa ser mais uma instancia de esclarecimento e divulgacao dessas demandas e diretrizes da CAPES junto a todo o corpo que forma a pos-graduacao da UNIFEI.
Masculino;Mestrado;2020;Engenharia de Materiais;10;3;3;3;3;3;Sem condicoes de avaliar;3;3;3;3;3;3;3;2;3;1;1;3;3;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Sim;Sim;3;Melhoria na qualidade de vida da populacao local, Avanco cientifico;Nao;Nao;Nao;;Docente;Sim;Ja possuia emprego quando ingressei na pos-graduacao/UNIFEI;;Nao;Sim;Finalizei meus estudos no PPGE e na UNIFEI satisfeito profissionalmente e pessoalmente, pois a pesquisa contribuiu para o aumento do conhecimento cientifico sobre as trajetorias escolares, as praticas educativas familiares e as vivencias escolares de estudantes que se destacam no contexto do CAp-Coluni em razao do seu alto desempenho. Os dados gerados podem ser utilizados na elaboracao de politicas educacionais no ambito da UNIFEI para o enfrentamento de questoes que comprometem a efetivacao do direito constitucional de acesso a uma Engenharia de Materiais publica de qualidade. ;Conclui o Programa de Pos-Graduacao em Engenharia de Materiais da Universidade Federal de Vicosa me sentindo preparado e qualificado para contribuir com as demandas de ensino, pesquisa e extensao do campus em que estou lotado. Ao longo de todo o processo, a orientacao da comissao orientadora foi fundamental para que eu pudesse finalizar a dissertacao e me sentisse motivado durante o mestrado. Alem disso, o Programa tambem foi espaco proficuo para que eu aprendesse sobre a pesquisa em Engenharia de Materiais, em especial no campo da Sociologia da Engenharia de Materiais, na qual pretendo pleitear meu doutoramento nos proximos anos.
Feminino;Doutorado;2013;Muticentrico em Quimica;6;3;3;1;2;3;3;3;3;1;3;3;3;2;2;3;2;2;2;2;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Nao;Sim;2;Avanco cientifico;Sim;Sim;Nao;;Empresario ou autonomo;Nao;Sim;Os grupos de pesquisa deveriam trabalhar de forma a produzir um bom curriculo para todos, e nao so para o orientador. As oportunidades no programa deveriam ser oferecidas de forma igualitaria e dando preferencia aos estudantes do programa. As experiencias em Docencia, participacao em bancas e coorientacoes sao importantes para enriquecer os alunos do programa, mas em alguns nucleos, as oportunidades sao dadas a participantes externos. Alguns estudantes acabam por concluirem o programa de doutorado com um curriculo nao competitivo. Muitas vezes isso esta relacionado ao modo com que o orientador privilegia alguns estudantes em detrimento de outros. ;Nao;Sim;Embora tenha ressalvas quanto a varios aspectos do Programa de pos-graduacao ao qual participei, considero minha formacao na UNIFEI, de forma geral, maravilhosa. ;Deveriam se atentar mais aos procedimentos adotados por alguns coordenadores da pos-graduacao, os quais prejudicam os alunos e estes muitas vezes nao podem se fazer ouvir por medo de retaliacoes. 
Masculino;Doutorado;2017;Muticentrico em Quimica;8;3;2;2;2;2;3;3;3;3;3;2;3;3;2;3;3;2;3;;Sim;Sim;Sim;;Sim;Sim;Nao;Nao;Sim;3;Avanco cientifico;Nao;Sim;Nao;;Docente;Sim;;;Nao;Sim;Sinto-me honrado por ter sido formado desde a graduacao ate o pos-doutorado nesta instituicao. Isto, pelo nivel de excelencia que a UNIFEI mantem e pelas oportunidades de parcerias construidas ao longo do caminho.;
Feminino;Doutorado;2020;Muticentrico em Quimica;10;2;3;3;2;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;Sim;Nao;Sim;Nao;Nao;Nao;;Nao;Sim;2;Avanco cientifico;Sim;Nao;Nao;;Nao se aplica (desempregado);;Nao se aplica (Desempregado);;Nao;Sim;;
Masculino;Doutorado;2013;Engenharia Eletrica;10;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;1;3;3;Sim;Nao;Sim;Sim;Nao;Nao;;Nao;Sim;3;Avanco cientifico;Nao;Sim;Sim;;Docente;Sim;Nao;;Sim;Sim;Sou muito grato a UNIFEI por toda a formacao que me foi entregue.;nao
Feminino;Doutorado;2012;Muticentrico em Quimica;9;2;2;2;2;2;2;3;3;3;3;2;3;3;3;2;2;3;3;;Sim;Sim;Sim;Sim;Nao;Nao;;Nao;Sim;2;Avanco cientifico;Sim;Sim;Nao;;Docente;Sim;Nao;;Sim;Sim;;
Masculino;Doutorado;2019;Engenharia de Materiais;9;2;3;3;2;3;3;3;3;3;3;2;2;2;3;3;2;2;2;3;Sim;Nao;Sim;Nao;Nao;Nao;;Sim;Sim;2;Transferencia de conhecimento para a sociedade;Nao;Sim;Nao;;Outras ocupacoes na iniciativa privada;Sim;Nao;;Nao;Sim;;
Masculino;Doutorado;2016;Ciencia e Engenharia de Materiais;10;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;Sim;Nao;Sim;Nao;Nao;Nao;;Nao;Nao;3;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local;Nao;Nao;Nao;;Docente;Sim;Sim;;Sim;Sim;Muito satisfeito. ;
Masculino;Doutorado;2017;Administracao;7;3;2;3;2;2;2;3;3;2;3;2;2;3;2;1;2;2;3;;Sim;Sim;Sim;Sim;Nao;Nao;;Nao;Sim;2;Avanco cientifico;Nao;Nao;Nao;Foi pleiteado oportunidade de parte do programa em 3 editais, aprovadas por merito porem sem fundos suficientes para a implementacao ;Outras ocupacoes na iniciativa privada;Sim;Sim;Melhoria da divulgacao cientifica (artigos) e aproximacao com mercado atraves de estagios ou experimentos externos (a dificuldade encontrada foi em relacao a data de experiencia profissional);Sim;Sim;A instituicao possui historia e estrutura excepcionais. Porem falta transparencia nos processos seletivos e planejamento didatico.;
Feminino;Mestrado;2017;Ciencia e Engenharia de Materiais;8;2;2;2;2;2;2;3;3;3;3;2;;3;3;3;;2;2;2;Nao;Nao;Sim;Sim;Nao;Sim;Nao;Sim;Sim;2;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Melhoria na qualidade de vida da populacao local, Avanco cientifico;Nao;Nao;Nao;;Servidor Publico (outros cargos);Sim;Nao;;Nao;Sim;;
Feminino;Doutorado;2019;Gestao Regulacao de Recursos Hidricos;8;2;2;2;2;2;3;3;3;3;3;2;2;2;3;3;2;3;3;2;Sim;Sim;Sim;Nao;Nao;Nao;;Nao;Sim;1;Transferencia de conhecimento para a sociedade, Avanco cientifico;Nao;Nao;Nao;;Pesquisador;Sim;Nao se aplica (Desempregado);Sinto que a maioria dos programas de Pos graduacao focam exclusivamente na pesquisa, pelo menos na area ambiental, como se nao existissem outras possibilidades no mercado de trabalho que nao seja a pesquisa e a docencia no ensino superior. E a gente que faz mestrado e doutorado, quando acaba ja esta com 30 anos, e considerado sem experencia profissional e com o sentimento de que nao esta preparado para assumir qualquer funcao que nao seja academica. Acredito primeiramente que, seja necessario um reconhecimento do pesquisador como profissional, nao apenas dos PPGs, mas sim das esferas nacionais como CAPES e CNPq, a ainda, um incentivo ou uma aplicacao mais ampla da possivel atuacao do pesquisador no mercado de trabalho.;Nao;Sim;Medianamente satisfeita. Teria muito para falar, mas nao tenho tempo agora. Questionario vai muito alem de 10 minutos.;sem comentarios
Masculino;Mestrado;2017;Engenharia de Producao;8;3;3;3;2;2;3;3;3;3;3;2;2;3;3;3;2;2;3;;Sim;Sim;Nao;Nao;Nao;Nao;;Nao;Nao;1;Avanco cientifico;Nao;Nao;Nao;;Outras ocupacoes na iniciativa privada;Sim;Nao;;Sim;Sim;Estudar na UNIFEI foi uma das experiencias mais marcantes na minha vida pessoal e profissional.;
Masculino;Doutorado;2020;Ciencia e Tecnologia da Computacao;10;3;2;2;3;2;3;3;3;3;3;3;3;2;2;2;3;2;3;;Sim;Sim;Sim;Nao;Nao;Nao;;Nao;Sim;3;Licenciamento de processos ou produtos, Avanco cientifico;Nao;Nao;Nao;;Nao se aplica (desempregado);;Nao se aplica (Desempregado);;Sim;Sim;;
Masculino;Doutorado;2017;Engenharia Eletrica;9;3;3;3;3;3;3;3;3;3;3;1;2;3;2;1;1;2;3;3;Sim;Sim;Nao;Nao;Nao;Nao;;Nao;Sim;1;Avanco cientifico;Sim;Sim;Nao;;Outras ocupacoes na iniciativa privada;Sim;Nao;;Sim;Sim;;
Masculino;Mestrado;2019;Matematica;9;3;3;3;2;2;3;3;3;3;3;3;3;3;2;3;3;3;2;3;Sim;Nao;Sim;Sim;Nao;Nao;;Nao;Sim;3;Avanco cientifico;Nao;Nao;Nao;;Bolsa de Fixacao;;;;;Sim;;
Masculino;Mestrado;2020;Ciencia e Tecnologia da Computacao;9;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;3;2;Sim;Nao;Sim;Nao;Nao;Nao;;Sim;Sim;1;Avanco cientifico;Nao;Sim;Nao;;Doutorando;;;;Sim;Sim;Muito bom;
Feminino;Mestrado;2020;Engenharia Hidrica;10;2;2;3;3;3;3;3;3;3;3;3;3;3;2;3;3;1;3;3;Nao;Nao;Nao;Nao;Nao;Sim;Sim;Sim;Sim;3;Transferencia de conhecimento para a sociedade;Nao;Nao;Nao;;Docente;Sim;Nao;;Nao;Sim;;
Masculino;Doutorado;2017;Engenharia Civil;10;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;Nao;Nao;Sim;Nao;Nao;Sim;Nao;Sim;Sim;2;Avanco cientifico;Nao;Nao;Nao;;Docente;Sim;Ja possuia emprego quando ingressei na pos-graduacao/UNIFEI;;Sim;Sim;Entre oportunidades e experiencias por mim vivenciadas, a de pertencer como estudante na UNIFEI foi, certamente, a maior e mais gratificante delas. Toda minha carreira profissional foi e e impactada por minha passagem pela UNIFEI.;
Masculino;Mestrado;2013;Meio Ambiente e Recursos Hidricos;9;3;3;3;2;3;3;3;3;3;3;2;2;2;3;2;2;2;2;2;Sim;Nao;Sim;Sim;Nao;Sim;Nao;Sim;Sim;3;Transferencia de conhecimento para a sociedade, Avanco cientifico;Nao;Nao;Nao;;Servidor Publico (outros cargos);Nao;Nao;;Nao;Sim;Satisfacao muito boa;
Feminino;Doutorado;2020;Ciencia e Tecnologia da Computacao;8;2;2;2;3;2;2;3;3;1;3;2;2;3;3;3;3;3;2;3;Sim;Nao;Sim;Sim;Nao;Sim;Nao;Sim;Sim;3;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;Nao;Nao;Nao;;Nao se aplica (desempregado);;Nao se aplica (Desempregado);Associacao com empresas e maior divulgacao de editais de pos doutorados;Sim;Sim;Estou satisfeita mas acho que os programas de pos graduacao poderiam ser mais participativos na busca do primeiro emprego ou encaminhamento profissional.;O trabalho que realiza e excelente mas acredito que tambem possa ser mais participativo no auxilio a busca do primeiro emprego.
